Property Code,Total Units (2022Jul) (Outdoor Parking),Occupied (2022Jul) (Outdoor Parking),Percentage (2022Jul) (Outdoor Parking),New Lease (2022Jul) (Outdoor Parking),Ending Lease (2022Jul) (Outdoor Parking),Price (2022Jul) (Outdoor Parking),Total Units (2022Aug) (Outdoor Parking),Occupied (2022Aug) (Outdoor Parking),Percentage (2022Aug) (Outdoor Parking),New Lease (2022Aug) (Outdoor Parking),Ending Lease (2022Aug) (Outdoor Parking),Price (2022Aug) (Outdoor Parking),Total Units (2022Sep) (Outdoor Parking),Occupied (2022Sep) (Outdoor Parking),Percentage (2022Sep) (Outdoor Parking),New Lease (2022Sep) (Outdoor Parking),Ending Lease (2022Sep) (Outdoor Parking),Price (2022Sep) (Outdoor Parking),Total Units (2022Oct) (Outdoor Parking),Occupied (2022Oct) (Outdoor Parking),Percentage (2022Oct) (Outdoor Parking),New Lease (2022Oct) (Outdoor Parking),Ending Lease (2022Oct) (Outdoor Parking),Price (2022Oct) (Outdoor Parking),Total Units (2022Dec) (Outdoor Parking),Occupied (2022Dec) (Outdoor Parking),Percentage (2022Dec) (Outdoor Parking),New Lease (2022Dec) (Outdoor Parking),Ending Lease (2022Dec) (Outdoor Parking),Price (2022Dec) (Outdoor Parking),Total Units (2023Apr) (Outdoor Parking),Occupied (2023Apr) (Outdoor Parking),Percentage (2023Apr) (Outdoor Parking),New Lease (2023Apr) (Outdoor Parking),Ending Lease (2023Apr) (Outdoor Parking),Price (2023Apr) (Outdoor Parking),Total Units (2023May) (Outdoor Parking),Occupied (2023May) (Outdoor Parking),Percentage (2023May) (Outdoor Parking),New Lease (2023May) (Outdoor Parking),Ending Lease (2023May) (Outdoor Parking),Price (2023May) (Outdoor Parking)
y31201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y31602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40210,31.0,28.0,90.32,1.0,4.0,65.0,31.0,27.0,87.1,1.0,8.0,65.0,31.0,23.0,74.19,1.0,11.0,65.0,31.0,27.0,87.1,2.0,7.0,65.0,31.0,28.0,90.32,4.0,10.0,65.0,31.0,28.0,90.32,0.0,10.0,65.0,31.0,27.0,87.1,2.0,8.0,65.0
y40230,98.0,78.0,79.59,7.0,20.0,40.0,98.0,76.0,77.55,0.0,38.0,40.0,98.0,76.0,77.55,0.0,34.0,40.0,98.0,78.0,79.59,5.0,30.0,40.0,98.0,82.0,83.67,6.0,34.0,40.0,98.0,81.0,82.65,0.0,42.0,40.0,98.0,80.0,81.63,9.0,31.0,40.0
y40790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y40940,12.0,8.0,66.67,0.0,2.0,75.0,12.0,7.0,58.33,0.0,7.0,75.0,12.0,7.0,58.33,0.0,6.0,75.0,12.0,7.0,58.33,0.0,6.0,75.0,12.0,7.0,58.33,1.0,6.0,75.0,12.0,6.0,50.0,0.0,8.0,75.0,12.0,5.0,41.67,0.0,10.0,75.0
y40960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y41491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y41580,95.0,62.0,65.26,7.0,13.0,35.0,95.0,57.0,60.0,0.0,54.0,35.0,95.0,54.0,56.84,0.0,52.0,35.0,95.0,53.0,55.79,1.0,53.0,35.0,95.0,48.0,50.53,3.0,56.0,35.0,96.0,47.0,48.96,0.0,66.0,35.0,96.0,44.0,45.83,8.0,64.0,35.0
y50121,57.0,29.0,50.88,2.0,7.0,80.0,57.0,32.0,56.14,2.0,29.0,80.0,57.0,32.0,56.14,1.0,29.0,80.0,57.0,31.0,54.39,4.0,30.0,80.0,57.0,32.0,56.14,8.0,30.0,80.0,57.0,32.0,56.14,1.0,32.0,80.0,57.0,31.0,54.39,4.0,31.0,80.0
y50670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y50680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y52950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53000,38.0,29.0,76.32,1.0,7.0,85.0,38.0,29.0,76.32,0.0,11.0,85.0,38.0,30.0,78.95,0.0,10.0,85.0,38.0,30.0,78.95,6.0,11.0,85.0,38.0,28.0,73.68,3.0,11.0,85.0,38.0,31.0,81.58,0.0,10.0,85.0,38.0,31.0,81.58,5.0,9.0,85.0
y53590,299.0,256.0,85.62,6.0,8.0,90.0,299.0,255.0,85.28,0.0,70.0,90.0,299.0,261.0,87.29,0.0,63.0,110.0,300.0,257.0,85.67,19.0,94.0,110.0,300.0,255.0,85.0,2.0,70.0,110.0,302.0,260.0,86.09,1.0,66.0,110.0,302.0,257.0,85.1,2.0,70.0,110.0
y53600,413.0,379.0,91.77,31.0,68.0,70.0,412.0,377.0,91.5,0.0,54.0,70.0,412.0,378.0,91.75,2.0,56.0,70.0,412.0,379.0,91.99,34.0,56.0,70.0,412.0,374.0,90.78,37.0,62.0,70.0,412.0,373.0,90.53,0.0,69.0,70.0,412.0,371.0,90.05,27.0,64.0,75.0
y53620,56.0,53.0,94.64,5.0,13.0,90.0,56.0,52.0,92.86,0.0,24.0,90.0,56.0,52.0,92.86,0.0,25.0,90.0,56.0,52.0,92.86,4.0,25.0,90.0,56.0,52.0,92.86,4.0,26.0,90.0,56.0,51.0,91.07,0.0,24.0,90.0,56.0,50.0,89.29,3.0,24.0,90.0
y53630,59.0,14.0,23.73,3.0,2.0,90.0,59.0,14.0,23.73,1.0,45.0,90.0,59.0,14.0,23.73,3.0,45.0,90.0,59.0,13.0,22.03,1.0,47.0,90.0,59.0,13.0,22.03,1.0,46.0,90.0,59.0,12.0,20.34,0.0,49.0,90.0,59.0,11.0,18.64,1.0,48.0,90.0
y53640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53650,49.0,43.0,87.76,7.0,7.0,85.0,49.0,43.0,87.76,2.0,8.0,90.0,49.0,40.0,81.63,1.0,11.0,90.0,49.0,40.0,81.63,5.0,11.0,90.0,49.0,39.0,79.59,1.0,14.0,90.0,49.0,37.0,75.51,1.0,15.0,90.0,49.0,35.0,71.43,5.0,17.0,90.0
y53660,54.0,29.0,53.7,0.0,1.0,85.0,54.0,38.0,70.37,0.0,25.0,85.0,54.0,39.0,72.22,0.0,24.0,85.0,54.0,39.0,72.22,1.0,25.0,85.0,54.0,39.0,72.22,2.0,25.0,85.0,54.0,38.0,70.37,0.0,25.0,85.0,54.0,40.0,74.07,1.0,24.0,85.0
y55265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55270,117.0,69.0,58.97,1.0,3.0,75.0,117.0,69.0,58.97,0.0,50.0,75.0,117.0,67.0,57.26,1.0,51.0,75.0,117.0,71.0,60.68,6.0,47.0,75.0,117.0,69.0,58.97,2.0,51.0,75.0,117.0,72.0,61.54,4.0,52.0,75.0,117.0,70.0,59.83,4.0,49.0,75.0
y55275,99.0,24.0,24.24,0.0,0.0,70.0,99.0,24.0,24.24,0.0,76.0,70.0,99.0,23.0,23.23,0.0,76.0,70.0,99.0,23.0,23.23,1.0,79.0,70.0,99.0,20.0,20.2,0.0,79.0,70.0,99.0,19.0,19.19,0.0,80.0,70.0,99.0,20.0,20.2,0.0,79.0,70.0
y63060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y63130,10.0,7.0,70.0,0.0,1.0,75.0,10.0,7.0,70.0,0.0,4.0,75.0,10.0,7.0,70.0,0.0,3.0,75.0,10.0,7.0,70.0,0.0,5.0,75.0,10.0,7.0,70.0,0.0,6.0,75.0,10.0,7.0,70.0,0.0,4.0,75.0,10.0,7.0,70.0,0.0,4.0,75.0
y63135,10.0,7.0,70.0,0.0,0.0,75.0,10.0,9.0,90.0,0.0,1.0,75.0,10.0,9.0,90.0,0.0,2.0,75.0,10.0,10.0,100.0,3.0,3.0,75.0,10.0,10.0,100.0,1.0,2.0,75.0,10.0,9.0,90.0,0.0,4.0,75.0,10.0,9.0,90.0,1.0,2.0,75.0
y64170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y64180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y65160,64.0,35.0,54.69,0.0,2.0,85.0,64.0,34.0,53.12,0.0,30.0,85.0,64.0,33.0,51.56,0.0,33.0,85.0,64.0,34.0,53.12,0.0,33.0,85.0,64.0,32.0,50.0,0.0,32.0,85.0,64.0,32.0,50.0,0.0,33.0,85.0,64.0,31.0,48.44,1.0,33.0,85.0
y65165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y65225,12.0,12.0,100.0,0.0,2.0,130.0,15.0,13.0,86.67,0.0,5.0,130.0,15.0,13.0,86.67,0.0,4.0,130.0,15.0,13.0,86.67,2.0,4.0,130.0,15.0,11.0,73.33,0.0,6.0,130.0,15.0,10.0,66.67,0.0,7.0,130.0,15.0,10.0,66.67,0.0,7.0,130.0
